[28-Mar-2025 23:33:59 UTC] PHP Warning:  require(/home2/axisfore/public_html/backend/helpers/PHPMailer/src/Exception.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:33:59 UTC] PHP Fatal error:  require(): Failed opening required '/home2/axisfore/public_html/backend/helpers/PHPMailer/src/Exception.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:37:42 UTC] PHP Warning:  require(/home2/axisfore/public_html/backend/helpers/PHPMailer/src/Exception.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:37:42 UTC] PHP Fatal error:  require(): Failed opening required '/home2/axisfore/public_html/backend/helpers/PHPMailer/src/Exception.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:39:43 UTC] PHP Warning:  require_once(/backend/controllers/AuthController.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/connect.php on line 28
[28-Mar-2025 23:39:43 UTC] PHP Fatal error:  require_once(): Failed opening required '/backend/controllers/AuthController.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/connect.php on line 28
[28-Mar-2025 23:40:40 UTC] PHP Warning:  require_once(/backend/controllers/AuthController.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/connect.php on line 28
[28-Mar-2025 23:40:40 UTC] PHP Fatal error:  require_once(): Failed opening required '/backend/controllers/AuthController.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/connect.php on line 28
[28-Mar-2025 23:42:05 UTC] PHP Warning:  require_once(/backend/controllers/AuthController.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/connect.php on line 28
[28-Mar-2025 23:42:05 UTC] PHP Fatal error:  require_once(): Failed opening required '/backend/controllers/AuthController.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/connect.php on line 28
[28-Mar-2025 23:43:43 UTC] PHP Warning:  require_once(/PHPMailer/src/Exception.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:43:43 UTC] PHP Fatal error:  require_once(): Failed opening required '/PHPMailer/src/Exception.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:45:24 UTC] PHP Warning:  require_once(PHPMailer/src/Exception.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:45:24 UTC] PHP Fatal error:  require_once(): Failed opening required 'PHPMailer/src/Exception.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 7
[28-Mar-2025 23:48:23 UTC] PHP Warning:  require_once(/home2/axisfore/public_html/backend/helpers/PHPMailer/src/Exception.php): failed to open stream: No such file or directory in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 11
[28-Mar-2025 23:48:23 UTC] PHP Fatal error:  require_once(): Failed opening required '/home2/axisfore/public_html/backend/helpers/PHPMailer/src/Exception.php' (include_path='.:/opt/alt/php74/usr/share/pear') in /home2/axisfore/public_html/backend/helpers/EmailHelper.php on line 11
[31-Mar-2025 20:58:28 Europe/Berlin] PHP Warning:  mysqli::__construct(): (HY000/1045): Access denied for user 'axisfore_user'@'localhost' (using password: YES) in C:\xampp\htdocs\public_html\connect.php on line 19
[31-Mar-2025 20:58:28 Europe/Berlin] Connection failed: Access denied for user 'axisfore_user'@'localhost' (using password: YES)
[31-Mar-2025 21:10:52 Europe/Berlin] PHP Warning:  mysqli::__construct(): (HY000/1045): Access denied for user 'axisfore_user'@'localhost' (using password: YES) in C:\xampp\htdocs\public_html\connect.php on line 19
[31-Mar-2025 21:10:52 Europe/Berlin] Connection failed: Access denied for user 'axisfore_user'@'localhost' (using password: YES)
